Open,High,Low,Close,Volume
Open,High,Low,Close,Volume
314.54,314.54,314.54,314.54,4905.0
314.69,314.7,314.69,314.7,300.0
314.29,314.69,314.29,314.69,200.0
314.0618,314.66,314.0618,314.66,300.0
313.92,314.54,313.92,314.54,200.0
314.1,314.25,314.1,314.23,1399.0
314.28,314.29,314.035,314.29,901.0
314.47,314.47,314.23,314.23,361.0
314.48,314.48,314.35,314.35,200.0
314.2,314.54,314.2,314.49,700.0
314.48,314.48,314.48,314.48,200.0
314.42,314.485,314.36,314.4,3029.0
314.09,314.42,314.09,314.222,625.0
313.85,314.02,313.85,314.02,1500.0
313.56,313.75,313.5,313.75,1100.0
313.82,313.82,313.55,313.55,1600.0
313.775,313.775,313.775,313.775,200.0
313.37,313.44,313.22,313.44,597.0
313.54,313.54,313.45,313.45,300.0
313.41,313.42,313.37,313.42,400.0
313.425,313.5,313.425,313.49,700.0
313.48,313.48,313.4092,313.4092,400.0
313.31,313.38,313.31,313.38,900.0
313.235,313.235,313.22,313.22,200.0
313.32,313.32,313.245,313.245,500.0
313.52,313.52,313.28,313.35,1008.0
313.69,313.69,313.595,313.61,300.0
313.66,313.66,313.66,313.66,100.0
313.89,313.89,313.69,313.69,1100.0
313.98,313.98,313.98,313.98,288.0
313.62,313.87,313.62,313.8,2600.0
313.9,313.9,313.62,313.64,800.0
313.9,313.95,313.9,313.94,400.0
314.29,314.29,314.04,314.04,1600.0
314.14,314.265,313.965,314.265,1800.0
313.945,313.96,313.94,313.96,500.0
313.66,313.965,313.66,313.9,1333.0
313.59,313.78,313.5,313.53,2400.0
313.45,313.45,313.45,313.45,200.0
313.45,313.45,313.4,313.45,500.0
313.395,313.395,313.395,313.395,100.0
313.56,313.56,313.44,313.46,800.0
313.77,313.77,313.61,313.61,1200.0
313.83,313.83,313.83,313.83,200.0
313.845,313.845,313.845,313.845,100.0
313.73,313.855,313.61,313.77,2600.0
313.67,313.67,313.67,313.67,100.0
313.83,313.83,313.63,313.63,2500.0
313.975,314.03,313.8,313.8699,3800.0
313.76,313.91,313.76,313.91,2000.0
313.76,313.83,313.54,313.83,909.0
313.77,313.8025,313.7,313.7,2000.0
313.81,314.02,313.77,313.77,2300.0
313.815,313.925,313.645,313.645,1800.0
313.8,313.85,313.7799,313.7799,2600.0
313.65,313.69,313.46,313.69,1911.0
313.19,313.53,313.19,313.53,2476.0
313.1517,313.1517,313.1517,313.1517,200.0
313.16,313.16,313.1,313.1,900.0
313.36,313.36,313.22,313.22,400.0
313.23,313.42,313.23,313.385,400.0
313.31,313.4,313.31,313.4,200.0
313.4,313.4,313.4,313.4,100.0
313.51,313.51,313.41,313.41,300.0
313.475,313.475,313.35,313.4,1500.0
313.44,313.52,313.34,313.34,1000.0
313.63,313.63,313.56,313.56,400.0
313.735,313.735,313.69,313.69,400.0
313.61,313.6775,313.61,313.63,1145.0
313.57,313.59,313.57,313.59,500.0
313.56,313.56,313.55,313.55,400.0
313.57,313.57,313.57,313.57,200.0
313.67,313.67,313.67,313.67,100.0
313.51,313.51,313.51,313.51,100.0
313.359,313.55,313.22,313.55,1900.0
313.22,313.4,313.16,313.32,2300.0
313.19,313.22,313.13,313.16,715.0
313.16,313.16,313.16,313.16,100.0
313.2,313.2,313.19,313.19,400.0
313.09,313.14,313.09,313.14,300.0
312.99,313.14,312.99,313.08,1000.0
312.8,312.99,312.8,312.99,400.0
312.88,312.99,312.88,312.88,1300.0
313.16,313.16,312.94,312.94,700.0
313.185,313.185,313.185,313.185,100.0
312.95,313.13,312.95,313.13,1500.0
312.93,312.94,312.93,312.94,500.0
312.892,312.93,312.892,312.93,600.0
312.98,312.98,312.91,312.91,300.0
313.1,313.19,313.1,313.11,900.0
313.27,313.41,313.18,313.21,2199.0
313.01,313.16,312.97,313.16,500.0
313.1,313.16,313.0,313.07,2968.0
313.21,313.21,313.21,313.21,200.0
313.27,313.27,313.13,313.25,1600.0
313.03,313.23,313.03,313.13,2969.0
312.96,313.03,312.92,313.02,3100.0
312.97,313.08,312.96,312.96,1500.0
312.95,312.95,312.91,312.91,1000.0
312.94,312.95,312.94,312.95,668.0
312.81,312.87,312.81,312.865,1000.0
312.62,312.63,312.61,312.63,900.0
312.69,312.69,312.69,312.69,100.0
312.62,312.62,312.62,312.62,100.0
312.705,312.705,312.705,312.705,198.0
312.8,312.94,312.745,312.79,2438.0
312.71,312.88,312.7,312.81,2800.0
312.88,312.9,312.75,312.75,1900.0
312.74,312.74,312.74,312.74,100.0
312.85,312.85,312.82,312.82,300.0
312.77,312.86,312.77,312.86,6470.0
312.92,312.92,312.92,312.92,200.0
312.85,312.96,312.85,312.94,600.0
313.13,313.13,313.04,313.04,600.0
313.29,313.29,313.13,313.13,300.0
313.36,313.37,313.36,313.37,200.0
313.25,313.42,313.25,313.42,300.0
313.51,313.51,313.38,313.44,1000.0
313.66,313.66,313.66,313.66,100.0
313.7,313.76,313.59,313.68,1009.0
313.7301,313.77,313.7301,313.76,950.0
313.55,313.74,313.55,313.74,1118.0
313.65,313.705,313.65,313.705,400.0
313.44,313.64,313.35,313.64,1500.0
313.56,313.56,313.48,313.48,200.0
313.471,313.471,313.471,313.471,125.0
313.28,313.48,313.28,313.48,600.0
313.33,313.33,313.2239,313.2239,216.0
313.4,313.4,313.25,313.28,800.0
313.44,313.44,313.44,313.44,100.0
313.37,313.39,313.37,313.39,400.0
313.21,313.21,313.21,313.21,100.0
313.09,313.09,313.08,313.08,959.0
313.06,313.06,313.02,313.02,600.0
313.08,313.11,313.08,313.1,700.0
313.33,313.33,313.19,313.19,300.0
313.18,313.19,313.14,313.19,1691.0
313.1491,313.185,313.1491,313.185,401.0
313.03,313.09,313.03,313.09,300.0
312.95,312.95,312.95,312.95,109.0
313.05,313.07,312.99,312.9916,1539.0
312.81,313.065,312.8,313.065,1707.0
312.8,312.89,312.8,312.87,300.0
312.94,312.94,312.94,312.94,500.0
313.18,313.18,313.01,313.06,1100.0
313.13,313.13,313.13,313.13,100.0
313.26,313.26,313.19,313.21,1100.0
313.16,313.19,313.16,313.19,400.0
313.03,313.05,313.03,313.04,400.0
313.23,313.23,313.215,313.215,500.0
313.19,313.26,313.19,313.26,500.0
313.32,313.32,313.32,313.32,100.0
313.265,313.265,313.265,313.265,100.0
313.2,313.35,313.2,313.33,300.0
313.36,313.4,313.27,313.27,800.0
313.44,313.44,313.44,313.44,200.0
313.47,313.53,313.47,313.52,300.0
313.45,313.55,313.45,313.55,706.0
313.35,313.35,313.35,313.35,100.0
313.45,313.45,313.36,313.36,300.0
313.44,313.44,313.44,313.44,100.0
313.56,313.56,313.5,313.5,400.0
313.5918,313.5918,313.5918,313.5918,234.0
313.67,313.67,313.55,313.55,200.0
313.605,313.605,313.605,313.605,200.0
313.67,313.67,313.67,313.67,100.0
313.7235,313.7235,313.67,313.67,240.0
313.74,313.74,313.74,313.74,100.0
313.56,313.6088,313.51,313.58,1270.0
313.34,313.34,313.34,313.34,100.0
313.35,313.36,313.34,313.34,400.0
313.24,313.29,313.24,313.29,200.0
313.15,313.26,313.15,313.26,200.0
313.145,313.145,313.145,313.145,100.0
313.25,313.25,313.25,313.25,100.0
313.2,313.2,313.2,313.2,100.0
313.2,313.34,313.2,313.29,800.0
313.36,313.36,313.2617,313.2617,295.0
313.36,313.36,313.36,313.36,296.0
313.37,313.37,313.37,313.37,200.0
313.41,313.41,313.36,313.36,1499.0
313.43,313.43,313.43,313.43,100.0
313.39,313.39,313.39,313.39,100.0
313.43,313.43,313.43,313.43,100.0
313.67,313.67,313.46,313.46,1100.0
313.71,313.71,313.65,313.65,200.0
313.69,313.69,313.69,313.69,300.0
313.83,313.83,313.83,313.83,100.0
313.83,313.83,313.83,313.83,100.0
313.92,313.929,313.81,313.81,852.0
313.9,313.9,313.86,313.87,1000.0
313.86,313.86,313.83,313.86,400.0
313.86,313.86,313.81,313.81,400.0
313.8673,313.8673,313.8673,313.8673,130.0
313.855,313.93,313.82,313.91,1100.0
313.78,313.78,313.71,313.71,300.0
313.81,313.81,313.755,313.755,400.0
313.805,313.83,313.78,313.78,420.0
313.73,313.76,313.71,313.71,300.0
313.7233,313.7233,313.7233,313.7233,521.0
313.735,313.735,313.735,313.735,100.0
313.68,313.68,313.61,313.68,1100.0
313.595,313.595,313.595,313.595,100.0
313.51,313.59,313.51,313.59,300.0
313.64,313.64,313.64,313.64,100.0
313.48,313.48,313.48,313.48,100.0
313.54,313.54,313.54,313.54,100.0
313.67,313.67,313.62,313.62,700.0
313.69,313.69,313.69,313.69,200.0
313.77,313.77,313.68,313.68,200.0
313.775,313.775,313.775,313.775,405.0
313.71,313.84,313.71,313.78,300.0
313.87,313.87,313.87,313.87,300.0
313.92,313.92,313.92,313.92,100.0
313.64,313.94,313.64,313.78,1514.0
313.73,313.73,313.73,313.73,100.0
313.77,313.77,313.77,313.77,300.0
313.67,313.79,313.67,313.79,200.0
313.65,313.65,313.65,313.65,100.0
313.6783,313.74,313.62,313.74,600.0
313.57,313.57,313.57,313.57,400.0
313.53,313.59,313.53,313.55,700.0
313.53,313.54,313.51,313.54,300.0
313.52,313.57,313.49,313.57,300.0
313.41,313.535,313.41,313.535,400.0
313.285,313.32,313.24,313.24,600.0
313.29,313.29,313.29,313.29,100.0
313.33,313.38,313.33,313.34,400.0
313.39,313.39,313.39,313.39,100.0
313.22,313.35,313.22,313.35,300.0
313.27,313.27,313.22,313.22,200.0
313.38,313.38,313.35,313.35,300.0
313.38,313.56,313.38,313.51,1400.0
313.565,313.565,313.5,313.5,400.0
313.7,313.71,313.7,313.71,400.0
313.75,313.75,313.75,313.75,100.0
313.65,313.77,313.65,313.72,700.0
313.71,313.71,313.66,313.66,801.0
313.76,313.76,313.76,313.76,100.0
313.85,313.85,313.73,313.8,1000.0
313.81,313.81,313.79,313.79,200.0
313.815,313.86,313.75,313.77,1200.0
313.82,313.82,313.78,313.78,200.0
313.805,313.805,313.805,313.805,100.0
313.74,313.74,313.74,313.74,200.0
313.581,313.581,313.581,313.581,100.0
313.603,313.6448,313.603,313.6448,289.0
313.64,313.64,313.53,313.53,400.0
313.715,313.75,313.65,313.65,400.0
313.8,313.8,313.77,313.77,200.0
313.8,313.8,313.8,313.8,100.0
313.62,313.73,313.53,313.71,1898.0
313.41,313.41,313.41,313.41,100.0
313.41,313.56,313.41,313.54,300.0
313.41,313.41,313.41,313.41,100.0
313.27,313.36,313.26,313.36,600.0
313.16,313.16,313.16,313.16,100.0
313.0701,313.132,313.0701,313.132,428.0
313.18,313.18,313.08,313.08,900.0
313.17,313.18,313.17,313.18,400.0
313.02,313.04,312.99,313.04,700.0
312.97,313.06,312.97,313.06,300.0
313.08,313.08,312.97,312.97,600.0
313.07,313.13,313.07,313.13,300.0
313.12,313.16,313.09,313.09,454.0
313.189,313.189,313.13,313.13,665.0
313.06,313.1,313.04,313.1,1300.0
313.05,313.09,313.05,313.09,300.0
313.06,313.06,313.06,313.06,200.0
312.99,313.01,312.99,313.01,200.0
312.97,313.04,312.97,313.03,1031.0
312.99,312.99,312.99,312.99,100.0
312.74,312.84,312.7,312.84,1700.0
312.77,312.77,312.69,312.69,300.0
312.8,312.83,312.78,312.78,1200.0
312.86,312.86,312.78,312.85,300.0
312.96,312.96,312.86,312.86,900.0
312.9,312.9,312.9,312.9,100.0
313.05,313.05,312.98,312.98,900.0
313.19,313.19,313.03,313.03,300.0
313.25,313.25,313.19,313.19,200.0
